"","logFC","logCPM","LR","PValue","FDR"
"FBgn0036924",3.35082925689001,3.29929772157753,26.6741156565886,2.40826156326648e-07,2.59795339872925e-05
"FBgn0035316",2.7135310335111,3.17714807302739,26.643263647975,2.44702460530933e-07,2.62181207711713e-05
"FBgn0031240",2.54657455186446,5.10358978819456,26.5734692063313,2.53703905432775e-07,2.69988953416636e-05
"FBgn0053290",3.04564148793822,2.14706179186096,26.5471572004981,2.57182886592057e-07,2.71854393545295e-05
"FBgn0033074",2.33736500545635,3.65094507992667,26.4638537985754,2.68515792005334e-07,2.80786915212714e-05
"FBgn0031132",3.19754761016782,1.59145040719203,26.4536424637111,2.69938986620424e-07,2.80786915212714e-05
"FBgn0035952",1.90995611929244,4.08512569718907,26.4461955526805,2.7098165785608e-07,2.80786915212714e-05
"FBgn0038377",2.40858356385106,4.20610944801867,26.4330447124994,2.72832827591673e-07,2.8085732252084e-05
"FBgn0051773",3.16016566420564,4.65223004550046,26.4035038028383,2.77037484907107e-07,2.82139905930474e-05
"FBgn0037962",2.35475433034372,3.14679549468535,26.391725748403,2.78731950447388e-07,2.82139905930474e-05
"FBgn0038200",2.05158087083222,6.45007796612114,26.3867365334308,2.79452859207327e-07,2.82139905930474e-05
"FBgn0028887",2.48413337963221,2.1320494146788,26.3541574651611,2.84206489015759e-07,2.84007757777689e-05
"FBgn0035647",2.74652149835816,-0.000857544859243624,26.3493866680545,2.84909369707142e-07,2.84007757777689e-05
"FBgn0266432",2.77885449795479,1.0185562631625,26.3155005205684,2.89952205409718e-07,2.87216807245475e-05
"FBgn0032492",4.83123999643964,3.18378188862704,26.2925379916705,2.93420181498761e-07,2.88168818884421e-05
"FBgn0037310",3.08974044839093,1.65833184149507,26.2849678521448,2.94572570415186e-07,2.88168818884421e-05
"FBgn0038296",1.16099838134952,5.10677385936609,26.2723506496207,2.96503355628136e-07,2.88267151305132e-05
"FBgn0030224",4.31356805745929,2.5548804941596,26.2423191197245,3.01150207031924e-07,2.909886969787e-05
"FBgn0000615",2.26317367133582,7.766465499478,26.2136362462648,3.0565652001733e-07,2.93542084772741e-05
"FBgn0034478",3.33626460009229,1.59831976529971,26.1731048462334,3.12139816227941e-07,2.95265818852567e-05
"FBgn0031986",1.47185047048112,1.97842811344018,26.1717323417416,3.12361755130353e-07,2.95265818852567e-05
"FBgn0032768",3.01881079451829,3.58694452088134,26.1673250310605,3.13075503164309e-07,2.95265818852567e-05
"FBgn0052690",3.21172601324449,5.18429735504652,26.1442431090236,3.16840324952838e-07,2.96001741138294e-05
"FBgn0265373",6.53619746873079,1.13925767026026,26.1395303694293,3.17614566681725e-07,2.96001741138294e-05
"FBgn0033490",3.93041280210422,2.24236008978265,26.1203741953071,3.20781247443076e-07,2.96377403920513e-05
"FBgn0036498",1.97795984254681,2.92510128664758,26.1143646653695,3.21781181399414e-07,2.96377403920513e-05
"FBgn0033371",3.26864746681339,3.59608251210875,26.0702356259219,3.29220221406658e-07,3.01466191113655e-05
"FBgn0038209",3.11542372280918,2.2993421932302,26.0454653268414,3.33471158588829e-07,3.03312979384417e-05
